id,category,register,cmi,n_english_tokens,n_tamil_tokens,n_total_tokens,formal_verb_count,tamil_noun_count,formal_pronoun_count,formal_polite_count,formal_compound_count,issues,needs_fix
43,card_arrival,COLLOQUIAL,14.29,1,6,7,0,0,0,0,0,,False
44,card_arrival,COLLOQUIAL,11.11,1,8,9,0,0,0,0,0,,False
45,card_arrival,MIXED,0.0,0,7,7,0,0,0,0,0,,True
46,card_arrival,COLLOQUIAL,10.0,1,9,10,0,0,0,0,0,,False
47,card_arrival,COLLOQUIAL,14.29,1,6,7,0,0,0,0,0,,False
48,card_arrival,COLLOQUIAL,22.22,2,7,9,0,0,0,0,0,,False
49,card_arrival,COLLOQUIAL,28.57,2,5,7,0,0,0,0,0,,False
50,card_arrival,COLLOQUIAL,25.0,2,6,8,0,0,0,0,0,,False
51,card_arrival,MIXED,0.0,0,7,7,0,0,0,0,0,,True
52,card_arrival,COLLOQUIAL,12.5,1,7,8,0,0,0,0,0,,False
53,card_arrival,COLLOQUIAL,20.0,1,4,5,0,0,0,0,0,,False
54,card_arrival,COLLOQUIAL,22.22,2,7,9,0,0,0,0,0,,False
55,card_arrival,COLLOQUIAL,16.67,1,5,6,0,0,0,0,0,,False
56,card_arrival,COLLOQUIAL,12.5,1,7,8,0,0,0,0,0,,False
57,card_arrival,COLLOQUIAL,10.0,1,9,10,0,0,0,0,0,,False
58,card_arrival,COLLOQUIAL,7.69,1,12,13,0,0,0,0,0,,False
59,card_arrival,MIXED,0.0,0,8,8,0,0,0,0,0,,True
60,card_arrival,COLLOQUIAL,16.67,1,5,6,0,0,0,0,0,,False
61,card_arrival,MIXED,0.0,0,6,6,0,0,0,0,0,,True
62,card_arrival,COLLOQUIAL,20.0,1,4,5,0,0,0,0,0,,False
63,card_arrival,COLLOQUIAL,14.29,1,6,7,0,0,0,0,0,,False
64,card_arrival,COLLOQUIAL,20.0,1,4,5,0,0,0,0,0,,False
65,card_arrival,COLLOQUIAL,7.69,1,12,13,0,0,0,0,0,,False
66,card_arrival,COLLOQUIAL,10.0,1,9,10,0,0,0,0,0,,False
67,card_arrival,COLLOQUIAL,16.67,1,5,6,0,0,0,0,0,,False
68,card_arrival,COLLOQUIAL,14.29,2,12,14,0,0,0,0,0,,False
69,card_arrival,COLLOQUIAL,42.86,3,4,7,0,0,0,0,0,,False
70,card_arrival,COLLOQUIAL,21.43,3,11,14,0,0,0,0,0,,False
71,card_arrival,COLLOQUIAL,12.5,1,7,8,0,0,0,0,0,,False
72,card_arrival,COLLOQUIAL,33.33,2,4,6,0,0,0,0,0,,False
73,card_arrival,COLLOQUIAL,16.67,1,5,6,0,0,0,0,0,,False
74,card_arrival,COLLOQUIAL,25.0,4,12,16,0,0,0,0,0,,False
75,card_arrival,COLLOQUIAL,14.29,1,6,7,0,0,0,0,0,,False
76,card_arrival,COLLOQUIAL,40.0,2,3,5,0,0,0,0,0,,False
77,card_arrival,COLLOQUIAL,33.33,2,4,6,0,0,0,0,0,,False
78,card_arrival,COLLOQUIAL,13.33,2,13,15,0,0,0,0,0,,False
79,card_arrival,COLLOQUIAL,16.67,1,5,6,0,0,0,0,0,,False
80,card_arrival,COLLOQUIAL,12.5,1,7,8,0,0,0,0,0,,False
81,card_arrival,MIXED,0.0,0,16,16,0,0,0,0,0,,True
82,card_arrival,COLLOQUIAL,28.57,2,5,7,0,0,0,0,0,,False
83,card_arrival,COLLOQUIAL,14.29,1,6,7,0,0,0,0,0,,False
84,card_arrival,COLLOQUIAL,6.67,1,14,15,0,0,0,0,0,,False
85,card_arrival,COLLOQUIAL,16.67,1,5,6,0,0,0,0,0,,False
86,card_arrival,COLLOQUIAL,11.11,1,8,9,0,0,0,0,0,,False
87,card_arrival,COLLOQUIAL,33.33,1,2,3,0,0,0,0,0,,False
88,card_arrival,COLLOQUIAL,10.0,1,9,10,0,0,0,0,0,,False
89,card_arrival,COLLOQUIAL,14.29,1,6,7,0,0,0,0,0,,False
90,card_arrival,COLLOQUIAL,10.0,1,9,10,0,0,0,0,0,,False
91,card_arrival,MIXED,0.0,0,6,6,0,0,0,0,0,,True
92,card_arrival,MIXED,0.0,0,11,11,0,0,0,0,0,,True
93,card_arrival,MIXED,0.0,0,4,4,0,0,0,0,0,,True
94,card_arrival,COLLOQUIAL,14.29,1,6,7,0,0,0,0,0,,False
95,card_arrival,COLLOQUIAL,14.29,1,6,7,0,0,0,0,0,,False
96,card_arrival,COLLOQUIAL,14.29,1,6,7,0,0,0,0,0,,False
97,card_arrival,COLLOQUIAL,12.5,1,7,8,0,0,0,0,0,,False
98,card_arrival,COLLOQUIAL,10.0,1,9,10,0,0,0,0,0,,False
99,card_arrival,COLLOQUIAL,40.0,2,3,5,0,0,0,0,0,,False
100,card_arrival,COLLOQUIAL,33.33,2,4,6,0,0,0,0,0,,False
101,card_arrival,COLLOQUIAL,10.0,1,9,10,0,0,0,0,0,,False
102,card_arrival,COLLOQUIAL,10.0,1,9,10,0,0,0,0,0,,False
103,card_arrival,COLLOQUIAL,16.67,1,5,6,0,0,0,0,0,,False
104,card_arrival,COLLOQUIAL,14.29,1,6,7,0,0,0,0,0,,False
105,card_arrival,COLLOQUIAL,12.5,1,7,8,0,0,0,0,0,,False
106,card_arrival,COLLOQUIAL,20.0,1,4,5,0,0,0,0,0,,False
107,card_arrival,COLLOQUIAL,25.0,1,3,4,0,0,0,0,0,,False
108,card_arrival,COLLOQUIAL,14.29,1,6,7,0,0,0,0,0,,False
109,card_arrival,COLLOQUIAL,14.29,1,6,7,0,0,0,0,0,,False
110,card_arrival,COLLOQUIAL,8.33,1,11,12,0,0,0,0,0,,False
111,card_arrival,COLLOQUIAL,13.33,2,13,15,0,0,0,0,0,,False
112,card_arrival,COLLOQUIAL,16.67,1,5,6,0,0,0,0,0,,False
113,card_arrival,MIXED,0.0,0,13,13,0,0,0,0,0,,True
114,card_arrival,COLLOQUIAL,9.09,1,10,11,0,0,0,0,0,,False
115,card_arrival,COLLOQUIAL,28.57,2,5,7,0,0,0,0,0,,False
116,card_arrival,COLLOQUIAL,12.5,1,7,8,0,0,0,0,0,,False
117,card_arrival,COLLOQUIAL,27.27,3,8,11,0,0,0,0,0,,False
118,card_arrival,COLLOQUIAL,10.0,1,9,10,0,0,0,0,0,,False
119,card_arrival,MIXED,0.0,0,7,7,0,0,0,0,0,,True
120,card_arrival,COLLOQUIAL,20.0,1,4,5,0,0,0,0,0,,False
121,card_arrival,COLLOQUIAL,37.5,3,5,8,0,0,0,0,0,,False
122,card_arrival,COLLOQUIAL,20.0,1,4,5,0,0,0,0,0,,False
123,card_arrival,COLLOQUIAL,16.67,1,5,6,0,0,0,0,0,,False
124,card_arrival,COLLOQUIAL,14.29,1,6,7,0,0,0,0,0,,False
125,card_arrival,COLLOQUIAL,10.0,1,9,10,0,0,0,0,0,,False
126,card_arrival,COLLOQUIAL,12.5,1,7,8,0,0,0,0,0,,False
127,card_arrival,MIXED,14.29,1,6,7,1,0,0,0,0,formal_verbs:anuppappatta,True
128,card_arrival,COLLOQUIAL,14.29,1,6,7,0,0,0,0,0,,False
129,card_arrival,MIXED,0.0,0,7,7,0,0,0,0,0,,True
130,card_arrival,COLLOQUIAL,14.29,1,6,7,0,0,0,0,0,,False
131,card_arrival,MIXED,16.67,1,5,6,1,0,0,0,0,formal_verbs:anuppappatta,True
132,card_arrival,COLLOQUIAL,16.67,1,5,6,0,0,0,0,0,,False
133,card_arrival,MIXED,14.29,1,6,7,1,0,0,0,0,formal_verbs:anuppappatta,True
134,card_arrival,COLLOQUIAL,10.0,1,9,10,0,0,0,0,0,,False
135,card_arrival,MIXED,0.0,0,6,6,0,0,0,0,0,,True
136,card_arrival,COLLOQUIAL,50.0,3,3,6,0,0,0,0,0,,False
137,card_arrival,COLLOQUIAL,6.25,1,15,16,0,0,0,0,0,,False
138,card_arrival,COLLOQUIAL,11.11,1,8,9,0,0,0,0,0,,False
139,card_arrival,COLLOQUIAL,10.0,1,9,10,0,0,0,0,0,,False
140,card_arrival,COLLOQUIAL,16.67,1,5,6,0,0,0,0,0,,False
141,card_arrival,COLLOQUIAL,22.22,2,7,9,0,0,0,0,0,,False
142,card_arrival,COLLOQUIAL,10.0,1,9,10,0,0,0,0,0,,False
143,card_arrival,COLLOQUIAL,10.0,1,9,10,0,0,0,0,0,,False
144,card_arrival,MIXED,28.57,2,5,7,1,0,0,0,0,formal_verbs:anuppappatta,True
145,card_arrival,COLLOQUIAL,16.67,1,5,6,0,0,0,0,0,,False
146,card_arrival,COLLOQUIAL,28.57,2,5,7,0,0,0,0,0,,False
147,card_arrival,COLLOQUIAL,12.5,1,7,8,0,0,0,0,0,,False
148,card_arrival,COLLOQUIAL,33.33,2,4,6,0,0,0,0,0,,False
149,card_arrival,COLLOQUIAL,12.5,1,7,8,0,0,0,0,0,,False
150,card_arrival,COLLOQUIAL,9.09,1,10,11,0,0,0,0,0,,False
151,card_arrival,COLLOQUIAL,14.29,1,6,7,0,0,0,0,0,,False
152,card_arrival,COLLOQUIAL,20.0,1,4,5,0,0,0,0,0,,False
153,card_linking,COLLOQUIAL,10.0,1,9,10,0,0,0,0,0,,False
154,card_linking,MIXED,0.0,0,10,10,0,0,0,0,0,,True
155,card_linking,MIXED,0.0,0,5,5,0,0,0,0,0,,True
156,card_linking,COLLOQUIAL,9.09,1,10,11,0,0,0,0,0,,False
157,card_linking,COLLOQUIAL,12.5,1,7,8,0,0,0,0,0,,False
158,card_linking,COLLOQUIAL,11.11,1,8,9,0,0,0,0,0,,False
159,card_linking,MIXED,0.0,0,7,7,0,0,0,0,0,,True
160,card_linking,COLLOQUIAL,6.25,1,15,16,0,0,0,0,0,,False
161,card_linking,COLLOQUIAL,22.22,2,7,9,0,0,0,0,0,,False
162,card_linking,MIXED,0.0,0,5,5,0,0,0,0,0,,True
163,card_linking,COLLOQUIAL,12.5,1,7,8,0,0,0,0,0,,False
164,card_linking,COLLOQUIAL,27.27,3,8,11,0,0,0,0,0,,False
165,card_linking,COLLOQUIAL,14.29,1,6,7,0,0,0,0,0,,False
166,card_linking,MIXED,0.0,0,7,7,0,0,0,0,0,,True
167,card_linking,COLLOQUIAL,10.53,2,17,19,0,0,0,0,0,,False
168,card_linking,COLLOQUIAL,22.22,2,7,9,0,0,0,0,0,,False
169,card_linking,COLLOQUIAL,25.0,2,6,8,0,0,0,0,0,,False
170,card_linking,COLLOQUIAL,13.33,2,13,15,0,0,0,0,0,,False
171,card_linking,MIXED,0.0,0,9,9,0,0,0,0,0,,True
172,card_linking,MIXED,0.0,0,6,6,0,0,0,0,0,,True
173,card_linking,MIXED,0.0,0,14,14,0,0,0,0,0,,True
174,card_linking,COLLOQUIAL,22.22,2,7,9,0,0,0,0,0,,False
175,card_linking,MIXED,0.0,0,6,6,0,0,0,0,0,,True
176,card_linking,MIXED,0.0,0,10,10,0,0,0,0,0,,True
177,card_linking,COLLOQUIAL,12.5,1,7,8,0,0,0,0,0,,False
178,card_linking,COLLOQUIAL,16.67,1,5,6,0,0,0,0,0,,False
179,card_linking,COLLOQUIAL,16.67,1,5,6,0,0,0,0,0,,False
180,card_linking,COLLOQUIAL,5.88,1,16,17,0,0,0,0,0,,False
181,card_linking,COLLOQUIAL,22.22,2,7,9,0,0,0,0,0,,False
182,card_linking,MIXED,0.0,0,7,7,0,0,0,0,0,,True
183,card_linking,COLLOQUIAL,12.5,1,7,8,0,0,0,0,0,,False
184,card_linking,COLLOQUIAL,9.09,1,10,11,0,0,0,0,0,,False
185,card_linking,COLLOQUIAL,12.5,1,7,8,0,0,0,0,0,,False
186,card_linking,COLLOQUIAL,28.57,4,10,14,0,0,0,0,0,,False
187,card_linking,MIXED,0.0,0,6,6,0,0,0,0,0,,True
188,card_linking,MIXED,0.0,0,14,14,0,0,0,0,0,,True
189,card_linking,MIXED,0.0,0,16,16,0,0,0,0,0,,True
190,card_linking,COLLOQUIAL,10.0,1,9,10,0,0,0,0,0,,False
191,card_linking,MIXED,0.0,0,14,14,0,0,0,0,0,,True
192,card_linking,MIXED,0.0,0,15,15,0,0,0,0,0,,True
193,card_linking,MIXED,0.0,0,7,7,0,0,0,0,0,,True
194,card_linking,COLLOQUIAL,22.22,2,7,9,0,0,0,0,0,,False
195,card_linking,COLLOQUIAL,20.0,2,8,10,0,0,0,0,0,,False
196,card_linking,COLLOQUIAL,8.33,1,11,12,0,0,0,0,0,,False
197,card_linking,COLLOQUIAL,11.11,1,8,9,0,0,0,0,0,,False
198,card_linking,MIXED,0.0,0,5,5,0,0,0,0,0,,True
199,card_linking,MIXED,0.0,0,12,12,0,0,0,0,0,,True
200,card_linking,MIXED,0.0,0,7,7,0,0,0,0,0,,True
201,card_linking,COLLOQUIAL,22.22,2,7,9,0,0,0,0,0,,False
202,card_linking,MIXED,0.0,0,12,12,0,0,0,0,0,,True
203,card_linking,COLLOQUIAL,20.0,1,4,5,0,0,0,0,0,,False
204,card_linking,COLLOQUIAL,20.0,1,4,5,0,0,0,0,0,,False
205,card_linking,COLLOQUIAL,16.67,2,10,12,0,0,0,0,0,,False
206,card_linking,COLLOQUIAL,20.0,1,4,5,0,0,0,0,0,,False
207,card_linking,COLLOQUIAL,22.22,2,7,9,0,0,0,0,0,,False
208,card_linking,COLLOQUIAL,11.11,1,8,9,0,0,0,0,0,,False
209,card_linking,COLLOQUIAL,10.0,1,9,10,0,0,0,0,0,,False
210,card_linking,MIXED,0.0,0,11,11,0,0,0,0,0,,True
211,card_linking,COLLOQUIAL,11.11,1,8,9,0,0,0,0,0,,False
212,card_linking,MIXED,0.0,0,6,6,0,0,0,0,0,,True
213,card_linking,COLLOQUIAL,22.22,2,7,9,0,0,0,0,0,,False
214,card_linking,COLLOQUIAL,33.33,2,4,6,0,0,0,0,0,,False
215,card_linking,MIXED,0.0,0,9,9,0,0,0,0,0,,True
216,card_linking,COLLOQUIAL,10.53,2,17,19,0,0,0,0,0,,False
217,card_linking,COLLOQUIAL,20.0,1,4,5,0,0,0,0,0,,False
218,card_linking,MIXED,0.0,0,5,5,0,0,0,0,0,,True
219,card_linking,MIXED,0.0,0,12,12,0,0,0,0,0,,True
220,card_linking,COLLOQUIAL,12.5,1,7,8,0,0,0,0,0,,False
221,card_linking,MIXED,0.0,0,5,5,0,0,0,0,0,,True
222,card_linking,MIXED,0.0,0,6,6,0,0,0,0,0,,True
223,card_linking,MIXED,0.0,0,7,7,0,0,0,0,0,,True
224,card_linking,COLLOQUIAL,16.67,1,5,6,0,0,0,0,0,,False
225,card_linking,COLLOQUIAL,20.0,1,4,5,0,0,0,0,0,,False
226,card_linking,COLLOQUIAL,14.29,1,6,7,0,0,0,0,0,,False
227,card_linking,COLLOQUIAL,14.29,1,6,7,0,0,0,0,0,,False
228,card_linking,COLLOQUIAL,23.08,3,10,13,0,0,0,0,0,,False
229,card_linking,COLLOQUIAL,16.67,1,5,6,0,0,0,0,0,,False
230,card_linking,COLLOQUIAL,20.0,2,8,10,0,0,0,0,0,,False
231,card_linking,COLLOQUIAL,25.0,2,6,8,0,0,0,0,0,,False
232,card_linking,MIXED,0.0,0,7,7,0,0,0,0,0,,True
233,card_linking,MIXED,0.0,0,5,5,0,0,0,0,0,,True
234,card_linking,MIXED,0.0,0,14,14,0,0,0,0,0,,True
235,card_linking,COLLOQUIAL,14.29,1,6,7,0,0,0,0,0,,False
236,card_linking,MIXED,0.0,0,14,14,0,0,0,0,0,,True
237,card_linking,MIXED,0.0,0,14,14,0,0,0,0,0,,True
238,card_linking,COLLOQUIAL,20.0,2,8,10,0,0,0,0,0,,False
239,card_linking,MIXED,0.0,0,7,7,0,0,0,0,0,,True
240,card_linking,MIXED,0.0,0,7,7,0,0,0,0,0,,True
241,card_linking,MIXED,0.0,0,9,9,0,0,0,0,0,,True
242,card_linking,COLLOQUIAL,13.33,2,13,15,0,0,0,0,0,,False
243,card_linking,COLLOQUIAL,12.5,2,14,16,0,0,0,0,0,,False
244,card_linking,COLLOQUIAL,18.18,2,9,11,0,0,0,0,0,,False
245,card_linking,COLLOQUIAL,9.09,1,10,11,0,0,0,0,0,,False
246,card_linking,COLLOQUIAL,14.29,1,6,7,0,0,0,0,0,,False
247,card_linking,COLLOQUIAL,33.33,2,4,6,0,0,0,0,0,,False
248,card_linking,COLLOQUIAL,7.69,1,12,13,0,0,0,0,0,,False
249,card_linking,COLLOQUIAL,16.67,1,5,6,0,0,0,0,0,,False
250,card_linking,COLLOQUIAL,14.29,1,6,7,0,0,0,0,0,,False
251,card_linking,COLLOQUIAL,12.5,1,7,8,0,0,0,0,0,,False
252,card_linking,COLLOQUIAL,20.0,1,4,5,0,0,0,0,0,,False
253,card_linking,MIXED,0.0,0,12,12,0,0,0,0,0,,True
254,card_linking,COLLOQUIAL,20.0,2,8,10,0,0,0,0,0,,False
255,card_linking,COLLOQUIAL,20.0,2,8,10,0,0,0,0,0,,False
256,card_linking,COLLOQUIAL,11.11,1,8,9,0,0,0,0,0,,False
257,card_linking,COLLOQUIAL,20.0,2,8,10,0,0,0,0,0,,False
258,card_linking,COLLOQUIAL,11.11,1,8,9,0,0,0,0,0,,False
259,card_linking,COLLOQUIAL,10.0,1,9,10,0,0,0,0,0,,False
260,card_linking,COLLOQUIAL,25.0,2,6,8,0,0,0,0,0,,False
261,card_linking,COLLOQUIAL,33.33,2,4,6,0,0,0,0,0,,False
262,card_linking,COLLOQUIAL,16.67,1,5,6,0,0,0,0,0,,False
263,card_linking,MIXED,0.0,0,6,6,0,0,0,0,0,,True
264,card_linking,COLLOQUIAL,22.22,2,7,9,0,0,0,0,0,,False
265,card_linking,MIXED,0.0,0,6,6,0,0,0,0,0,,True
266,card_linking,COLLOQUIAL,14.29,1,6,7,0,0,0,0,0,,False
267,card_linking,COLLOQUIAL,7.69,1,12,13,0,0,0,0,0,,False
268,card_linking,COLLOQUIAL,10.0,1,9,10,0,0,0,0,0,,False
269,card_linking,MIXED,0.0,0,5,5,0,0,0,0,0,,True
270,card_linking,MIXED,0.0,0,8,8,0,0,0,0,0,,True
271,card_linking,MIXED,0.0,0,11,11,0,0,0,0,0,,True
272,card_linking,MIXED,0.0,0,6,6,0,0,0,0,0,,True
273,card_linking,COLLOQUIAL,20.0,1,4,5,0,0,0,0,0,,False
274,card_linking,COLLOQUIAL,16.67,1,5,6,0,0,0,0,0,,False
275,card_linking,COLLOQUIAL,12.5,1,7,8,0,0,0,0,0,,False
276,card_linking,COLLOQUIAL,16.67,1,5,6,0,0,0,0,0,,False
277,card_linking,COLLOQUIAL,25.0,2,6,8,0,0,0,0,0,,False
278,card_linking,COLLOQUIAL,11.11,1,8,9,0,0,0,0,0,,False
279,card_linking,COLLOQUIAL,12.5,1,7,8,0,0,0,0,0,,False
280,card_linking,COLLOQUIAL,25.0,2,6,8,0,0,0,0,0,,False
281,card_linking,COLLOQUIAL,21.43,3,11,14,0,0,0,0,0,,False
282,card_linking,COLLOQUIAL,25.0,2,6,8,0,0,0,0,0,,False
283,card_linking,COLLOQUIAL,16.67,1,5,6,0,0,0,0,0,,False
284,card_linking,COLLOQUIAL,22.22,4,14,18,0,0,0,0,0,,False
285,card_linking,COLLOQUIAL,33.33,2,4,6,0,0,0,0,0,,False
286,card_linking,COLLOQUIAL,36.36,4,7,11,0,0,0,0,0,,False
287,card_linking,COLLOQUIAL,12.5,1,7,8,0,0,0,0,0,,False
288,card_linking,COLLOQUIAL,22.22,2,7,9,0,0,0,0,0,,False
289,card_linking,COLLOQUIAL,10.0,1,9,10,0,0,0,0,0,,False
290,card_linking,COLLOQUIAL,18.18,2,9,11,0,0,0,0,0,,False
291,card_linking,COLLOQUIAL,14.29,2,12,14,0,0,0,0,0,,False
292,exchange_rate,MIXED,0.0,0,6,6,0,0,0,0,0,,True
293,exchange_rate,MIXED,0.0,0,9,9,0,0,0,0,0,,True
294,exchange_rate,COLLOQUIAL,50.0,2,2,4,0,0,0,0,0,,False
295,exchange_rate,COLLOQUIAL,22.22,2,7,9,0,0,0,0,0,,False
296,exchange_rate,COLLOQUIAL,50.0,2,2,4,0,0,0,0,0,,False
297,exchange_rate,COLLOQUIAL,50.0,2,2,4,0,0,0,0,0,,False
298,exchange_rate,COLLOQUIAL,27.27,3,8,11,0,0,0,0,0,,False
299,exchange_rate,COLLOQUIAL,33.33,3,6,9,0,0,0,0,0,,False
300,exchange_rate,COLLOQUIAL,20.0,2,8,10,0,0,0,0,0,,False
301,exchange_rate,COLLOQUIAL,28.57,2,5,7,0,0,0,0,0,,False
302,exchange_rate,COLLOQUIAL,22.22,2,7,9,0,0,0,0,0,,False
303,exchange_rate,COLLOQUIAL,50.0,2,2,4,0,0,0,0,0,,False
304,exchange_rate,COLLOQUIAL,40.0,2,3,5,0,0,0,0,0,,False
305,exchange_rate,COLLOQUIAL,16.67,1,5,6,0,0,0,0,0,,False
306,exchange_rate,COLLOQUIAL,33.33,2,4,6,0,0,0,0,0,,False
307,exchange_rate,COLLOQUIAL,28.57,2,5,7,0,0,0,0,0,,False
308,exchange_rate,COLLOQUIAL,50.0,2,2,4,0,0,0,0,0,,False
309,exchange_rate,COLLOQUIAL,33.33,2,4,6,0,0,0,0,0,,False
310,exchange_rate,COLLOQUIAL,37.5,3,5,8,0,0,0,0,0,,False
311,exchange_rate,COLLOQUIAL,22.22,2,7,9,0,0,0,0,0,,False
312,exchange_rate,COLLOQUIAL,50.0,3,3,6,0,0,0,0,0,,False
313,exchange_rate,COLLOQUIAL,33.33,3,6,9,0,0,0,0,0,,False
314,exchange_rate,COLLOQUIAL,40.0,2,3,5,0,0,0,0,0,,False
315,exchange_rate,COLLOQUIAL,40.0,2,3,5,0,0,0,0,0,,False
316,exchange_rate,COLLOQUIAL,20.0,1,4,5,0,0,0,0,0,,False
317,exchange_rate,COLLOQUIAL,50.0,2,2,4,0,0,0,0,0,,False
318,exchange_rate,COLLOQUIAL,14.29,1,6,7,0,0,0,0,0,,False
319,exchange_rate,COLLOQUIAL,33.33,4,2,6,0,0,0,0,0,,False
320,exchange_rate,COLLOQUIAL,14.29,1,6,7,0,0,0,0,0,,False
321,exchange_rate,COLLOQUIAL,40.0,2,3,5,0,0,0,0,0,,False
322,exchange_rate,COLLOQUIAL,18.18,2,9,11,0,0,0,0,0,,False
323,exchange_rate,COLLOQUIAL,25.0,2,6,8,0,0,0,0,0,,False
324,exchange_rate,COLLOQUIAL,40.0,2,3,5,0,0,0,0,0,,False
325,exchange_rate,COLLOQUIAL,20.0,1,4,5,0,0,0,0,0,,False
326,exchange_rate,COLLOQUIAL,28.57,2,5,7,0,0,0,0,0,,False
327,exchange_rate,COLLOQUIAL,40.0,2,3,5,0,0,0,0,0,,False
328,exchange_rate,COLLOQUIAL,40.0,2,3,5,0,0,0,0,0,,False
329,exchange_rate,COLLOQUIAL,16.67,1,5,6,0,0,0,0,0,,False
330,exchange_rate,COLLOQUIAL,25.0,2,6,8,0,0,0,0,0,,False
331,exchange_rate,COLLOQUIAL,14.29,1,6,7,0,0,0,0,0,,False
332,exchange_rate,COLLOQUIAL,16.67,1,5,6,0,0,0,0,0,,False
333,exchange_rate,COLLOQUIAL,20.0,1,4,5,0,0,0,0,0,,False
334,exchange_rate,COLLOQUIAL,50.0,2,2,4,0,0,0,0,0,,False
335,exchange_rate,MIXED,0.0,0,6,6,0,0,0,0,0,,True
336,exchange_rate,COLLOQUIAL,25.0,2,6,8,0,0,0,0,0,,False
337,exchange_rate,COLLOQUIAL,33.33,2,4,6,0,0,0,0,0,,False
338,exchange_rate,COLLOQUIAL,33.33,1,2,3,0,0,0,0,0,,False
339,exchange_rate,COLLOQUIAL,33.33,2,4,6,0,0,0,0,0,,False
340,exchange_rate,COLLOQUIAL,33.33,2,4,6,0,0,0,0,0,,False
341,exchange_rate,COLLOQUIAL,20.0,1,4,5,0,0,0,0,0,,False
342,exchange_rate,COLLOQUIAL,33.33,2,4,6,0,0,0,0,0,,False
343,exchange_rate,COLLOQUIAL,33.33,2,4,6,0,0,0,0,0,,False
344,exchange_rate,COLLOQUIAL,50.0,2,2,4,0,0,0,0,0,,False
345,exchange_rate,COLLOQUIAL,50.0,2,2,4,0,0,0,0,0,,False
