language,term,z,n_negative,n_neutral
sinhala,සතුටු,2.3076410105809013,7,3
sinhala,පාරක්,2.2917162858468654,8,5
sinhala,නිතරම decline,2.2839382079130113,12,15
sinhala,try කළා,2.277848598506794,26,71
sinhala,මම,2.257239403681863,181,1278
sinhala,try,2.2537241249230973,39,143
sinhala,urgent,2.2336827945280753,13,19
sinhala,interbank,2.2181999201919225,6,2
sinhala,ලබාගෙන,2.192136679141001,8,6
sinhala,උදව් කරන්න,2.189225709123256,48,205
sinhala,ලබාගෙන ඇති,2.186135886217429,7,4
sinhala,නිතරම මගේ,2.186135886217429,7,4
sinhala,access ලබාගෙන,2.186135886217429,7,4
sinhala,system,2.1740048777334575,12,17
sinhala,use කරනවා,2.138447156267686,5,1
sinhala,වෙන්නේ කවුරු,2.138447156267686,5,1
sinhala,පේන කීපයක්,2.138447156267686,5,1
sinhala,අතුරුදහන් වෙලා,2.138447156267686,5,1
sinhala,මට දැන්ම,2.138447156267686,5,1
sinhala,කීපයක් payments,2.138447156267686,5,1
sinhala,අතුරුදහන්,2.138307624964411,9,9
sinhala,කවදාවත්,2.1183124108280977,14,25
sinhala,wallet,2.1167871936462084,10,12
sinhala,හරිම,2.1005482193426936,8,7
sinhala,decline කරන්නේ,2.0787399867482277,6,3
sinhala,සතුටු නෑ,2.0787399867482277,6,3
sinhala,service එකෙන්,2.0787399867482277,6,3
sinhala,payments,2.036187206262335,20,53
sinhala,ඇප් එකේ,2.0335954394631357,35,136
singlish,kavuru,3.818428755007346,53,110
singlish,kavuru hari,3.818428755007346,53,110
singlish,hari mage,3.3856483791635754,33,54
singlish,karanne nati,2.979325459328344,30,58
singlish,meka,2.9770277870317035,50,149
singlish,mama karanne,2.964928145480139,28,51
singlish,danma,2.929782924733345,24,38
singlish,wallet eka,2.901264809516391,10,3
singlish,500,2.841597371438747,9,2
singlish,rs 500,2.841597371438747,9,2
singlish,500 000,2.841597371438747,9,2
singlish,nati,2.831508428599198,66,252
singlish,nitarama,2.809249054571693,26,49
singlish,salli nati,2.790757619056076,8,1
singlish,kipavatavak try,2.7635167138520527,12,8
singlish,ayi nitarama,2.7536697922978473,7,0
singlish,hari,2.7461817420963146,79,345
singlish,oyalage system,2.7156094080197777,9,3
singlish,000,2.492893632921443,10,7
singlish,karanava,2.4809095823147764,41,137
singlish,udav,2.4744698711760345,64,279
singlish,000 cash,2.4414291577954588,7,2
singlish,nokala,2.4404416705073086,15,21
singlish,mage salli,2.4310914794473404,28,73
singlish,attatama,2.43105565704208,24,55
singlish,eka kale,2.3746106799365183,6,1
singlish,nila interbank,2.3746106799365183,6,1
singlish,nila,2.3746106799365183,6,1
singlish,interbank exchange,2.3746106799365183,6,1
singlish,oyala ayi,2.3746106799365183,6,1
singlish,manage,2.327240229372026,5,0
singlish,manage karanna,2.327240229372026,5,0
singlish,payments manage,2.327240229372026,5,0
singlish,kala,2.324404794583007,105,605
singlish,satutu,2.306536489144205,7,3
singlish,parak,2.290449106658402,8,5
singlish,nitarama decline,2.2821064275638774,12,15
singlish,try kala,2.2744074772024065,26,71
singlish,try,2.2490306084903295,39,143
singlish,mama,2.2438732303429942,181,1278
singlish,urgent,2.2316907828837405,13,19
singlish,interbank,2.2172172519106708,6,2
singlish,labagena,2.1908192664637336,8,6
singlish,access labagena,2.184971869386348,7,4
singlish,nitarama mage,2.184971869386348,7,4
singlish,labagena ati,2.184971869386348,7,4
singlish,udav karanna,2.183703210513958,48,205
singlish,system,2.1721083394790957,12,17
singlish,kipayak payments,2.137605824012493,5,1
singlish,pena kipayak,2.137605824012493,5,1
singlish,mata danma,2.137605824012493,5,1
singlish,aturudahan vela,2.137605824012493,5,1
singlish,use karanava,2.137605824012493,5,1
singlish,venne kavuru,2.137605824012493,5,1
singlish,aturudahan,2.1368118421855256,9,9
singlish,kavadavat,2.1161183949923235,14,25
singlish,wallet,2.115133992804882,10,12
singlish,harima,2.099183369554993,8,7
singlish,service eken,2.0776894805532993,6,3
singlish,decline karanne,2.0776894805532993,6,3
tamil,மிகவும்,4.541752913866533,35,27
tamil,இது,3.617244234773749,59,147
tamil,செய்யாத,3.5750819412344086,38,64
tamil,யாரோ,3.433537872302829,33,52
tamil,நான் செய்யாத,3.2919413151531374,33,57
tamil,தொடர்ந்து,3.12848164232556,35,71
tamil,இப்போது,3.0897544013485247,51,145
tamil,போய்விட்டது,3.0121008419900757,15,11
tamil,முயற்சி,2.987660358282414,17,16
tamil,நான் செய்யவில்லை,2.8572479122719825,14,11
tamil,மறைந்துவிட்டது,2.843624014048677,12,7
tamil,"500,000 ரூபாய்",2.8379914597465015,9,2
tamil,"500,000",2.8379914597465015,9,2
tamil,யாரோ எனது,2.821354989657315,24,41
tamil,நடக்கிறது,2.7878056828573805,35,87
tamil,நான் மிகவும்,2.750885237691506,7,0
tamil,மிகவும் மோசமானது,2.750885237691506,7,0
tamil,முறை முயற்சி,2.711808742990785,9,3
tamil,முயற்சி செய்துவிட்டேன்,2.711808742990785,9,3
tamil,இப்போது அது,2.694472314066678,15,16
tamil,உதவுங்கள்,2.688004646367011,36,97
tamil,இது மிகவும்,2.5954153950289194,9,4
tamil,மோசமானது,2.587746820290328,7,1
tamil,ஏன் தொடர்ந்து,2.5847455267990727,11,8
tamil,திருப்தி,2.5798901507953094,10,6
tamil,செய்யாத ஒரு,2.4979771504093486,22,44
tamil,எனக்கு திருப்தி,2.4880651097867763,9,5
tamil,எனது அட்டையைப்,2.4655564338766824,35,105
tamil,என்ன நடக்கிறது,2.414746192842283,29,78
tamil,உடனடியாக,2.3987885191322813,16,25
tamil,ஒரு சாதாரண,2.395326350277072,8,4
tamil,மாட்டேன்,2.395326350277072,8,4
tamil,உத்தியோகபூர்வ வங்கிகளுக்கு,2.3717363896231087,6,1
tamil,உத்தியோகபூர்வ,2.3717363896231087,6,1
tamil,விடுமுறை,2.3717363896231087,6,1
tamil,முறை முயற்சித்தேன்,2.324878157900798,5,0
tamil,தொடர்ந்து நிராகரிக்கிறீர்கள்,2.324878157900798,5,0
tamil,நிராகரிக்கிறீர்கள்,2.324878157900798,5,0
tamil,திருப்தி இல்லை,2.2864403161748967,8,5
tamil,ஒருபோதும்,2.2474593904134124,10,10
tamil,தெரிந்திருந்தால்,2.2140972716435976,6,2
tamil,இடையிலான மாற்று,2.2140972716435976,6,2
tamil,தெரிந்திருந்தால் நான்,2.2140972716435976,6,2
tamil,வங்கிகளுக்கு,2.181282458056481,7,4
tamil,இதைத்,2.134929538118618,5,1
tamil,அட்டையைப் பயன்படுத்துகிறார்களா,2.134929538118618,5,1
tamil,யாராவது,2.133674436792691,18,40
tamil,எனக்கு இப்போது,2.074353544992211,6,3
tamil,சேவையில்,2.074353544992211,6,3
tamil,செய்துவிட்டேன்,1.9995891302764723,13,24
tamil,அது மறைந்துவிட்டது,1.968260031277806,5,2
tamil,சில கொடுப்பனவுகள்,1.968260031277806,5,2
tamil,சேவையில் எனக்கு,1.968260031277806,5,2
tamil,அங்கீகரிக்காத,1.9504196651500583,6,4
tamil,நான் அங்கீகரிக்காத,1.9504196651500583,6,4
tamil,வங்கிகளுக்கு இடையிலான,1.9504196651500583,6,4
tamil,"30,000",1.9315549215204062,8,9
tamil,இல்லை,1.9162447947684957,31,119
tamil,கண்டேன்,1.8995242614679333,11,19
tamil,யாராவது எனது,1.8761847840919554,10,16
tamilish,romba,4.925125583200612,55,66
tamilish,poiduchu,4.490927484669208,24,7
tamilish,yaaro,4.126693576234127,28,20
tamilish,thadava try,3.227381416431284,15,8
tamilish,ithu,3.0384183318610045,46,122
tamilish,kaanamal,2.8484178838322447,11,5
tamilish,500,2.829983966157741,9,2
tamilish,500 000,2.829983966157741,9,2
tamilish,ah,2.828124685562368,129,671
tamilish,wallet ah,2.744728485074551,7,0
tamilish,pannunga,2.735418957525432,49,158
tamilish,help pannunga,2.671859601757495,34,87
tamilish,naan romba,2.668620473318537,10,5
tamilish,ippo athu,2.668620473318537,10,5
tamilish,kaanamal poiduchu,2.637368340576525,8,2
tamilish,ippo,2.5678567266647314,50,177
tamilish,yaaro enoda,2.493360908656456,11,9
tamilish,pannaatha oru,2.47886403725273,9,5
tamilish,ithu romba,2.430861099468973,7,2
tamilish,thodarndhu,2.427331602363992,13,15
tamilish,nalla,2.4262472754918294,16,24
tamilish,en card,2.40452363740867,30,82
tamilish,yaaro en,2.386825999621493,8,4
tamilish,try,2.3840511912435374,58,243
tamilish,card ah,2.3827774352466635,33,98
tamilish,enaku thrupthi,2.365397456344726,6,1
tamilish,pannaatha,2.3456039940895925,11,11
tamilish,help,2.325777701091603,52,211
tamilish,thrupthi,2.295301625119511,7,3
tamilish,nadakuthu,2.2656319970121532,23,56
tamilish,thrupthi illa,2.2072178379984404,6,2
tamilish,payment enoda,2.2072178379984404,6,2
tamilish,naan nichayama,2.2072178379984404,6,2
tamilish,illa,2.1938772035717737,37,132
tamilish,try panniten,2.177423324124523,8,6
tamilish,sila payments,2.177423324124523,8,6
tamilish,naan pannala,2.177423324124523,8,6
tamilish,nichayama,2.173131403673882,7,4
tamilish,en wallet,2.1290411847661166,5,1
tamilish,therinjirundha,2.1290411847661166,5,1
tamilish,therinjirundha naan,2.1290411847661166,5,1
tamilish,poiduchu naan,2.1290411847661166,5,1
tamilish,system,2.1010161373885476,12,18
tamilish,pannala nu,2.0669993728848306,6,3
tamilish,yaravathu,2.0627183633262693,7,5
tamilish,thodarnthu decline,2.046958797137025,9,10
tamilish,enna nadakkuthu,2.0002366998563055,8,8
tamilish,wallet,1.985318753736329,11,17
tamilish,eduthutanga,1.9618039037017887,5,2
tamilish,unga system,1.9618039037017887,5,2
tamilish,maaten,1.9618039037017887,5,2
tamilish,sila,1.9441886976095697,27,92
tamilish,thodarndhu decline,1.9426370074541015,6,4
tamilish,000,1.9340204822062836,23,71
tamilish,30 000,1.9213781404678432,8,9
tamilish,payments,1.8880078895122894,16,39
tamilish,000 rubaa,1.8648220474980526,4,1
tamilish,ai seiyala,1.8648220474980526,4,1
tamilish,nichayama seiyala,1.8648220474980526,4,1
tamilish,naan approve,1.8648220474980526,4,1
