category,count,mean_cmi,min_cmi,max_cmi,pct_cmi_0,pct_cmi_1_10,pct_cmi_11_25,pct_cmi_gt_25
declined_card_payment,193,26.7,0.0,50.0,3.1,3.6,45.6,47.7
declined_cash_withdrawal,213,18.1,0.0,50.0,14.6,11.3,48.8,25.4
declined_transfer,173,25.1,0.0,50.0,5.8,4.0,44.5,45.7
direct_debit_payment_not_recognised,222,14.3,0.0,50.0,20.7,14.9,50.0,14.4
disposable_card_limits,161,27.0,0.0,50.0,11.8,1.9,34.2,52.2
edit_personal_details,161,7.2,0.0,50.0,65.8,3.1,21.1,9.9
exchange_charge,161,27.5,0.0,50.0,9.3,3.7,33.5,53.4
exchange_rate,152,26.3,0.0,50.0,5.9,2.0,46.1,46.1
exchange_via_app,158,26.8,0.0,50.0,8.2,3.8,32.3,55.7
extra_charge_on_statement,205,30.6,0.0,50.0,3.4,3.4,28.3,64.9
failed_transfer,177,15.5,0.0,50.0,19.2,13.6,52.5,14.7
fiat_currency_support,166,23.8,0.0,50.0,10.2,4.8,44.0,41.0
get_disposable_virtual_card,137,28.7,0.0,50.0,5.8,5.1,29.9,59.1
get_physical_card,146,19.5,0.0,50.0,22.6,2.7,50.7,24.0
getting_spare_card,169,19.0,0.0,50.0,18.3,8.3,46.7,26.6
getting_virtual_card,138,28.0,0.0,50.0,1.4,0.0,43.5,55.1
lost_or_stolen_card,122,15.5,0.0,50.0,18.9,9.0,56.6,15.6
lost_or_stolen_phone,161,12.5,0.0,50.0,23.6,13.0,56.5,6.8
order_physical_card,160,16.6,0.0,50.0,28.1,3.1,50.6,18.1
passcode_forgotten,145,6.0,0.0,50.0,66.9,4.1,25.5,3.4
pending_card_payment,199,23.0,0.0,50.0,6.0,5.0,48.2,40.7
pending_cash_withdrawal,183,23.6,0.0,50.0,2.2,1.6,57.4,38.8
pending_top_up,189,14.9,0.0,50.0,29.6,15.3,30.7,24.3
pending_transfer,188,18.1,0.0,50.0,20.7,11.2,39.4,28.7
pin_blocked,154,14.6,0.0,50.0,20.1,11.0,55.2,13.6
receiving_money,135,10.0,0.0,50.0,37.0,9.6,49.6,3.7
request_refund,209,14.0,0.0,50.0,21.1,12.0,54.1,12.9
reverted_card_payment?,201,23.4,0.0,50.0,5.5,13.9,39.8,40.8
supported_cards_and_currencies,169,22.8,0.0,50.0,11.8,10.7,36.1,41.4
terminate_account,148,5.9,0.0,40.0,63.5,8.8,25.7,2.0
top_up_by_bank_transfer_charge,151,22.0,0.0,50.0,19.2,0.7,43.7,36.4
top_up_by_card_charge,154,35.1,0.0,50.0,1.9,0.0,16.2,81.8
top_up_by_cash_or_cheque,154,20.0,0.0,50.0,26.0,5.8,30.5,37.7
top_up_failed,185,13.4,0.0,50.0,36.2,9.7,35.7,18.4
top_up_limits,137,9.7,0.0,50.0,57.7,0.7,30.7,10.9
top_up_reverted,186,14.5,0.0,50.0,28.0,10.8,43.0,18.3
topping_up_by_card,143,27.0,0.0,50.0,11.2,2.8,25.9,60.1
transaction_charged_twice,215,17.3,0.0,50.0,7.0,11.2,67.0,14.9
transfer_fee_charged,212,22.7,0.0,50.0,4.2,9.9,49.5,36.3
transfer_into_account,153,16.8,0.0,50.0,26.8,8.5,41.2,23.5
transfer_not_received_by_recipient,211,14.4,0.0,50.0,19.0,15.6,53.1,12.3
transfer_timing,168,15.4,0.0,50.0,15.5,16.1,54.2,14.3
unable_to_verify_identity,142,10.7,0.0,40.0,40.1,5.6,45.1,9.2
verify_my_identity,144,4.1,0.0,42.9,78.5,0.0,20.1,1.4
verify_source_of_funds,153,6.4,0.0,28.6,58.8,5.2,35.3,0.7
verify_top_up,166,13.2,0.0,50.0,42.8,1.8,38.6,16.9
virtual_card_not_working,81,29.2,7.1,50.0,0.0,1.2,46.9,51.9
visa_or_mastercard,175,24.0,0.0,50.0,9.7,2.9,46.9,40.6
why_verify_identity,161,10.2,0.0,40.0,36.6,11.2,48.4,3.7
wrong_amount_of_cash_received,220,8.9,0.0,40.0,33.6,17.7,47.7,0.9
wrong_exchange_rate_for_cash_withdrawal,203,26.1,0.0,50.0,0.5,8.9,41.4,49.3
